Year,Country,medal,rank
1992,China,83,4
1992,France,57,7
1992,United Kingdom,50,9
1992,United States,224,1
1996,China,110,5
1996,France,51,12
1996,Russia,115,4
1996,United Kingdom,26,18
1996,United States,260,1
2000,China,79,5
2000,France,66,8
2000,Russia,188,2
2000,United Kingdom,55,10
2000,United States,248,1
2004,China,94,6
2004,France,53,10
2004,Russia,192,2
2004,United Kingdom,57,9
2004,United States,264,1
2008,China,184,2
2008,France,76,8
2008,Russia,143,4
2008,United Kingdom,77,7
2008,United States,315,1
